,predict,probability,true
0,1.0,0.9912888188407336,1.0
1,1.0,0.9932255999788908,1.0
2,1.0,0.9982523228072303,1.0
3,1.0,0.9984140956271119,1.0
4,0.0,0.004225977664622797,0.0
5,1.0,0.998641046095445,1.0
6,1.0,0.8414528281106362,1.0
7,1.0,0.99178800894616,1.0
8,1.0,0.9928085813101091,1.0
9,0.0,0.0033724810651845796,0.0
10,1.0,0.9949327055986272,1.0
11,0.0,0.009080628202109501,0.0
12,1.0,0.990545398950909,1.0
13,1.0,0.9945660082431043,1.0
14,0.0,0.02686126817224548,0.0
15,0.0,0.011169510014199585,0.0
16,0.0,0.0022495485108780526,0.0
17,0.0,0.0019695868144733518,0.0
18,1.0,0.9966515686305678,1.0
19,0.0,0.004825302966825904,0.0
20,1.0,0.9863002019258374,1.0
21,0.0,0.10206590080676481,0.0
22,1.0,0.9718572415038748,1.0
23,1.0,0.9782437379058435,1.0
24,0.0,0.13266441835997575,0.0
25,1.0,0.9538509978311063,1.0
26,1.0,0.6913940549736161,0.0
27,1.0,0.9950764459130047,1.0
28,0.0,0.17623669229927078,0.0
29,1.0,0.992250660290968,1.0
30,1.0,0.9940741955766861,1.0
31,1.0,0.9478326282596594,1.0
32,1.0,0.9980586801730119,1.0
33,1.0,0.954013845475686,1.0
34,1.0,0.9895759821697729,1.0
35,0.0,0.011666184819451156,0.0
36,0.0,0.005535032365930158,0.0
37,1.0,0.9606315400051764,1.0
38,0.0,0.00262031839002283,0.0
39,1.0,0.9837509928486422,1.0
40,0.0,0.01546506011985985,0.0
41,0.0,0.00703116186946947,0.0
42,0.0,0.004992496825223884,0.0
43,1.0,0.9954744270678808,1.0
44,1.0,0.9492969420325551,1.0
45,1.0,0.9975253280572195,1.0
46,1.0,0.9875481976487694,1.0
47,1.0,0.9963592727734396,1.0
48,1.0,0.8383712585217394,1.0
49,1.0,0.9967459807397346,1.0
50,1.0,0.9987029856964109,1.0
51,1.0,0.994895870630734,1.0
52,0.0,0.006040538304845429,0.0
53,0.0,0.002412906671596807,0.0
54,1.0,0.9841721109826572,1.0
